section,avg_parking_time
"招商路(蛇口西段)",2957
"荔园路(蛇口西段)",3301
"登良路",3171
"高新南四道",3146
"科技南十二路",3450
"文心五路",3059
"科技南路",2871
"创业路(后海湾段)",4218
"文心六路",4012
"海德一道",3860
"学府路(前海段)",2958
"四海路",3562
"高新南环路",3356
"科技南一路",3728
"常兴路",2441
"后海大道辅道(后海段)",3731
"海德三道",3697
"龙城路",3814
"海德一道(后海湾段)",5584
"创业路辅道",3936
"文心二路",3745
"高新南七道",4257
"荔园路(蛇口东段)",3442
"海德二道（南油段）",3123
"高新南三道",2682
"海月路(东段)",3370
"工业九路",3015
"高新南九道",3844
"南新路",3362
"文心四路",2895
"科技南十路",2877
"文心三路",3552
"创业路(南油段)",4091
"海德二道",3927
"南头街",3639
"文心一路",4064
"高新南十道",3363
"中心路(后海湾段)",4473
"后海大道辅道(蛇口北段)",4003
"高新南五道",3334
"高新南十一道",3279
"华明路",3611
"金世纪路",3613
